h,t,exacta,segunda_derivada,error
1,1.56,-0.0107961,-0.0099259,0.000870217
1,1.57,-0.000796327,-0.000732139,6.41876e-05
1,1.58,0.00920354,0.0084617,0.000741848
1,1.59,0.0192025,0.0176547,0.00154781
1,1.6,0.0291995,0.0268459,0.00235362
1,1.61,0.0391936,0.0360344,0.00315919
1,1.62,0.0491838,0.0452194,0.00396444
1,1.63,0.0591691,0.0543998,0.0047693
1,1.64,0.0691484,0.0635748,0.00557368
1,1.65,0.0791209,0.0727434,0.00637751
1,1.66,0.0890854,0.0819047,0.0071807
1,1.67,0.099041,0.0910579,0.00798316
1,1.68,0.108987,0.100202,0.00878483
1,1.69,0.118922,0.109336,0.00958563
1,1.7,0.128844,0.118459,0.0103855
1,1.71,0.138755,0.12757,0.0111843
1,1.72,0.148651,0.136669,0.0119819
1,1.73,0.158532,0.145754,0.0127784
1,1.74,0.168397,0.154824,0.0135736
1,1.75,0.178246,0.163879,0.0143675
1,1.76,0.188077,0.172917,0.0151599
1,1.77,0.197889,0.181938,0.0159508
1,1.78,0.207681,0.190941,0.01674
1,1.79,0.217452,0.199925,0.0175277
1,1.8,0.227202,0.208889,0.0183135
1,1.81,0.236929,0.217831,0.0190976
1,1.82,0.246632,0.226753,0.0198797
1,1.83,0.256311,0.235651,0.0206598
1,1.84,0.265964,0.244526,0.0214379
1,1.85,0.27559,0.253376,0.0222138
1,1.86,0.285189,0.262202,0.0229876
1,1.87,0.294759,0.271,0.023759
1,1.88,0.3043,0.279772,0.024528
1,1.89,0.313811,0.288516,0.0252946
1,1.9,0.32329,0.297231,0.0260586
1,1.91,0.332736,0.305916,0.0268201
1,1.92,0.34215,0.314571,0.0275788
1,1.93,0.351529,0.323194,0.0283348
1,1.94,0.360873,0.331785,0.029088
1,1.95,0.370181,0.340343,0.0298383
1,1.96,0.379452,0.348866,0.0305856
1,1.97,0.388685,0.357355,0.0313298
1,1.98,0.397879,0.365808,0.0320709
1,1.99,0.407033,0.374224,0.0328088
1,2,0.416147,0.382603,0.0335434
1,2.01,0.425219,0.390944,0.0342746
1,2.02,0.434248,0.399246,0.0350024
1,2.03,0.443234,0.407508,0.0357267
1,2.04,0.452176,0.415729,0.0364475
1,2.05,0.461073,0.423908,0.0371646
1,2.06,0.469923,0.432045,0.037878
1,2.07,0.478727,0.440139,0.0385876
1,2.08,0.487482,0.448189,0.0392933
1,2.09,0.496189,0.456194,0.0399951
1,2.1,0.504846,0.464153,0.0406929
1,2.11,0.513453,0.472066,0.0413867
1,2.12,0.522008,0.479932,0.0420763
1,2.13,0.530511,0.48775,0.0427617
1,2.14,0.538961,0.495519,0.0434428
1,2.15,0.547358,0.503238,0.0441196
1,2.16,0.555699,0.510907,0.0447919
1,2.17,0.563985,0.518525,0.0454598
1,2.18,0.572215,0.526091,0.0461231
1,2.19,0.580387,0.533605,0.0467819
1,2.2,0.588501,0.541065,0.0474359
1,2.21,0.596557,0.548471,0.0480852
1,2.22,0.604552,0.555823,0.0487297
1,2.23,0.612488,0.563118,0.0493693
1,2.24,0.620362,0.570358,0.050004
1,2.25,0.628174,0.57754,0.0506337
1,2.26,0.635923,0.584665,0.0512583
1,2.27,0.643608,0.591731,0.0518778
1,2.28,0.65123,0.598738,0.0524921
1,2.29,0.658786,0.605685,0.0531012
1,2.3,0.666276,0.612571,0.0537049
1,2.31,0.6737,0.619396,0.0543033
1,2.32,0.681056,0.62616,0.0548962
1,2.33,0.688344,0.63286,0.0554837
1,2.34,0.695563,0.639498,0.0560656
1,2.35,0.702713,0.646071,0.0566419
1,2.36,0.709793,0.65258,0.0572126
1,2.37,0.716801,0.659024,0.0577775
1,2.38,0.723738,0.665401,0.0583366
1,2.39,0.730602,0.671712,0.0588899
1,2.4,0.737394,0.677956,0.0594373
1,2.41,0.744111,0.684133,0.0599788
1,2.42,0.750755,0.69024,0.0605143
1,2.43,0.757323,0.696279,0.0610437
1,2.44,0.763815,0.702248,0.061567
1,2.45,0.770231,0.708147,0.0620842
1,2.46,0.77657,0.713975,0.0625951
1,2.47,0.782832,0.719732,0.0630998
1,2.48,0.789015,0.725417,0.0635982
1,2.49,0.795119,0.731029,0.0640903
1,2.5,0.801144,0.736568,0.0645759
1,2.51,0.807088,0.742033,0.065055
1,2.52,0.812952,0.747424,0.0655277
1,2.53,0.818735,0.752741,0.0659938
1,2.54,0.824435,0.757982,0.0664533
1,2.55,0.830054,0.763147,0.0669061
1,2.56,0.835589,0.768236,0.0673523
1,2.57,0.84104,0.773249,0.0677917
1,2.58,0.846408,0.778184,0.0682244
1,2.59,0.851691,0.783041,0.0686502
1,2.6,0.856889,0.78782,0.0690692
1,2.61,0.862001,0.79252,0.0694812
1,2.62,0.867027,0.79714,0.0698864
1,2.63,0.871966,0.801681,0.0702845
1,2.64,0.876818,0.806142,0.0706756
1,2.65,0.881582,0.810523,0.0710596
1,2.66,0.886258,0.814822,0.0714365
1,2.67,0.890846,0.81904,0.0718063
1,2.68,0.895344,0.823175,0.0721689
1,2.69,0.899753,0.827229,0.0725243
1,2.7,0.904072,0.8312,0.0728724
1,2.71,0.908301,0.835087,0.0732132
1,2.72,0.912438,0.838892,0.0735467
1,2.73,0.916485,0.842612,0.0738729
1,2.74,0.92044,0.846248,0.0741917
1,2.75,0.924302,0.849799,0.074503
1,2.76,0.928073,0.853266,0.0748069
1,2.77,0.93175,0.856647,0.0751034
1,2.78,0.935335,0.859942,0.0753923
1,2.79,0.938825,0.863152,0.0756737
1,2.8,0.942222,0.866275,0.0759475
1,2.81,0.945525,0.869311,0.0762137
1,2.82,0.948733,0.872261,0.0764723
1,2.83,0.951847,0.875123,0.0767232
1,2.84,0.954865,0.877898,0.0769665
1,2.85,0.957787,0.880585,0.0772021
1,2.86,0.960614,0.883184,0.0774299
1,2.87,0.963345,0.885695,0.07765
1,2.88,0.965979,0.888117,0.0778624
1,2.89,0.968517,0.89045,0.0780669
1,2.9,0.970958,0.892694,0.0782637
1,2.91,0.973302,0.894849,0.0784526
1,2.92,0.975549,0.896915,0.0786337
1,2.93,0.977698,0.898891,0.0788069
1,2.94,0.979749,0.900777,0.0789723
1,2.95,0.981702,0.902572,0.0791297
1,2.96,0.983557,0.904278,0.0792793
1,2.97,0.985314,0.905893,0.0794209
1,2.98,0.986972,0.907418,0.0795545
1,2.99,0.988532,0.908852,0.0796802
1,3,0.989992,0.910195,0.079798
1,3.01,0.991354,0.911446,0.0799077
1,3.02,0.992617,0.912607,0.0800095
1,3.03,0.99378,0.913677,0.0801033
1,3.04,0.994844,0.914655,0.080189
1,3.05,0.995808,0.915542,0.0802667
1,3.06,0.996673,0.916337,0.0803365
1,3.07,0.997438,0.91704,0.0803981
1,3.08,0.998104,0.917652,0.0804518
1,3.09,0.998669,0.918172,0.0804974
1,3.1,0.999135,0.9186,0.0805349
1,3.11,0.999501,0.918937,0.0805644
1,3.12,0.999767,0.919181,0.0805858
1,3.13,0.999933,0.919334,0.0805992
1,3.14,0.999999,0.919394,0.0806045
1,3.15,0.999965,0.919363,0.0806018
1,3.16,0.999831,0.91924,0.080591
1,3.17,0.999597,0.919024,0.0805721
1,3.18,0.999263,0.918717,0.0805452
1,3.19,0.998829,0.918318,0.0805102
1,3.2,0.998295,0.917828,0.0804672
1,3.21,0.997661,0.917245,0.0804161
1,3.22,0.996928,0.916571,0.080357
1,3.23,0.996095,0.915805,0.0802898
1,3.24,0.995162,0.914947,0.0802146
1,3.25,0.99413,0.913998,0.0801314
1,3.26,0.992998,0.912958,0.0800402
1,3.27,0.991767,0.911826,0.079941
1,3.28,0.990437,0.910603,0.0798338
1,3.29,0.989008,0.909289,0.0797186
1,3.3,0.98748,0.907884,0.0795954
1,3.31,0.985853,0.906389,0.0794643
1,3.32,0.984128,0.904802,0.0793252
1,3.33,0.982304,0.903126,0.0791782
1,3.34,0.980382,0.901358,0.0790233
1,3.35,0.978362,0.899501,0.0788605
1,3.36,0.976244,0.897554,0.0786898
1,3.37,0.974028,0.895517,0.0785112
1,3.38,0.971715,0.893391,0.0783247
1,3.39,0.969305,0.891175,0.0781305
1,3.4,0.966798,0.88887,0.0779284
1,3.41,0.964194,0.886476,0.0777185
1,3.42,0.961494,0.883993,0.0775009
1,3.43,0.958698,0.881423,0.0772755
1,3.44,0.955806,0.878764,0.0770424
1,3.45,0.952818,0.876017,0.0768015
1,3.46,0.949735,0.873182,0.076553
1,3.47,0.946557,0.87026,0.0762969
1,3.48,0.943285,0.867252,0.0760331
1,3.49,0.939918,0.864156,0.0757617
1,3.5,0.936457,0.860974,0.0754827
1,3.51,0.932902,0.857706,0.0751962
1,3.52,0.929254,0.854352,0.0749022
1,3.53,0.925513,0.850913,0.0746006
1,3.54,0.92168,0.847388,0.0742917
1,3.55,0.917755,0.843779,0.0739752
1,3.56,0.913737,0.840086,0.0736514
1,3.57,0.909629,0.836308,0.0733203
1,3.58,0.905429,0.832447,0.0729817
1,3.59,0.901139,0.828503,0.0726359
1,3.6,0.896758,0.824476,0.0722829
1,3.61,0.892288,0.820366,0.0719226
1,3.62,0.887729,0.816174,0.0715551
1,3.63,0.883081,0.811901,0.0711804
1,3.64,0.878345,0.807546,0.0707987
1,3.65,0.873521,0.803111,0.0704098
1,3.66,0.868609,0.798596,0.0700139
1,3.67,0.863611,0.794,0.069611
1,3.68,0.858526,0.789325,0.0692012
1,3.69,0.853356,0.784571,0.0687844
1,3.7,0.8481,0.779739,0.0683608
1,3.71,0.842759,0.774829,0.0679303
1,3.72,0.837334,0.769841,0.067493
