h,t,exacta,forward,central,extrapolada,error_forward,error_central,error_extrapolada
1,-4.24,1.32076e-07,2.7587e-05,8.41729e-07,3.97956e-08,2.7455e-05,7.09653e-07,9.22802e-08
1,-4.23,1.43411e-07,2.94306e-05,9.07011e-07,4.45629e-08,2.92872e-05,7.63599e-07,9.88482e-08
1,-4.22,1.55687e-07,3.13911e-05,9.77159e-07,4.98286e-08,3.12354e-05,8.21472e-07,1.05858e-07
1,-4.21,1.68979e-07,3.34754e-05,1.05252e-06,5.56401e-08,3.33064e-05,8.83544e-07,1.13339e-07
1,-4.2,1.83368e-07,3.5691e-05,1.13347e-06,6.20489e-08,3.55077e-05,9.50104e-07,1.2132e-07
1,-4.19,1.98942e-07,3.80457e-05,1.2204e-06,6.9111e-08,3.78467e-05,1.02146e-06,1.29831e-07
1,-4.18,2.15794e-07,4.05475e-05,1.31374e-06,7.68873e-08,4.03317e-05,1.09794e-06,1.38907e-07
1,-4.17,2.34025e-07,4.32052e-05,1.41393e-06,8.54439e-08,4.29712e-05,1.1799e-06,1.48581e-07
1,-4.16,2.53745e-07,4.60279e-05,1.52145e-06,9.48526e-08,4.57742e-05,1.26771e-06,1.58892e-07
1,-4.15,2.75069e-07,4.90252e-05,1.63683e-06,1.05191e-07,4.87501e-05,1.36176e-06,1.69877e-07
1,-4.14,2.98124e-07,5.22072e-05,1.7606e-06,1.16545e-07,5.19091e-05,1.46248e-06,1.81579e-07
1,-4.13,3.23045e-07,5.55847e-05,1.89336e-06,1.29005e-07,5.52616e-05,1.57031e-06,1.9404e-07
1,-4.12,3.49977e-07,5.91687e-05,2.03571e-06,1.4267e-07,5.88187e-05,1.68574e-06,2.07306e-07
1,-4.11,3.79076e-07,6.29713e-05,2.18834e-06,1.57649e-07,6.25922e-05,1.80926e-06,2.21427e-07
1,-4.1,4.1051e-07,6.70048e-05,2.35193e-06,1.74058e-07,6.65943e-05,1.94142e-06,2.36452e-07
1,-4.09,4.44459e-07,7.12823e-05,2.52725e-06,1.92023e-07,7.08379e-05,2.08279e-06,2.52436e-07
1,-4.08,4.81117e-07,7.58178e-05,2.71509e-06,2.11681e-07,7.53367e-05,2.23397e-06,2.69435e-07
1,-4.07,5.20691e-07,8.06257e-05,2.91631e-06,2.33181e-07,8.0105e-05,2.39562e-06,2.8751e-07
1,-4.06,5.63403e-07,8.57213e-05,3.13182e-06,2.5668e-07,8.51579e-05,2.56841e-06,3.06723e-07
